Sub Category,Stock,Price,Title,Feature
Bakery & Desserts,30,56.99,"David’s Cookies Mile High Peanut Butter Cake, 6.8 lbs (14 Servings)","10 Peanut Butter Cake
Certified Kosher OU-D
14 Servings"
Bakery & Desserts,204,159.99,The Cake Bake Shop 8 Round Carrot Cake (16-22 Servings),"Spiced Carrot Cake with Cream Cheese Frosting   Silk Cherry Blossom Flowers (Not Edible)   No Nuts or Raisins   Dimensions: 9 Diameter, 7 High   16-22 Servings"
Bakery & Desserts,264,44.99,"St Michel Madeleine, Classic French Sponge Cake 100 - count","100 count
Individually wrapped
Made in and Imported from France
Free-range eggs
Non-GMO ingredients"
Bakery & Desserts,66,39.99,"David's Cookies Butter Pecan Meltaways 32 oz, 2-pack","Butter Pecan Meltaways
32 oz 2-Pack
No Preservatives
Certified Kosher OU-D
Contains Nuts"
Bakery & Desserts,205,59.99,"David’s Cookies Premier Chocolate Cake, 7.2 lbs (Serves 14)","10 Four Layer Chocolate Cake
Certified Kosher OU-D
Serves 14"
Bakery & Desserts,126,59.99,David's Cookies Mango & Strawberry Cheesecake 2-count (28 Slices Total),"2-count
Strawberry Cheesecake
Mango Cheesecake
Kosher OU-D certified"
Bakery & Desserts,245,74.99,"La Grande Galette French Butter Cookies, 1.3 lb, 6-pack","1.3 lb, 6-count
Baked in, and Imported from, France
Non-GMO, No Trans Fat, No Hydrogenated Oil   Palm Oil Free"
Bakery & Desserts,93,59.99,"David's Cookies No Sugar Added Cheesecake & Marble Truffle Cake, 2-pack (28 Slices Total)","2-count
No Sugar Added
Kosher OU-Dairy"
Bakery & Desserts,97,29.99,David's Cookies Brownie and Cookie Combo Pack,"6 Rocky Road Brownies
12 Chocoloate Chunk Cookies
Kosher Dairy OUD"
Bakery & Desserts,25,159.99,The Cake Bake Shop 8 Round Chocolate Cake (16-22 Servings),"3 Layers of French Valrhona Chocolate Cake   Mousse Malted Cream & Fudge Frosting   Topped with Fleur de Sel & Does Not Come with Flower   Dimensions: 9 Diameter, 7 High   16-22 Servings"
Bakery & Desserts,141,62.99,David's Cookies 10 Rainbow Cake  (12 Servings),"10 Rainbow Cake
Kosher OU-D certified
Serves approximately 12 people
Weight: 7 lbs.
Ships in Cooler with Dry Ice to Maintain Quality & Freshness"
Bakery & Desserts,232,299.99,The Cake Bake Shop 2 Tier Special Occasion Cake (16-22 Servings),"Peony Flower & Plate Not Included   Flavor: Lemon Cake with Pearl White Pixie Glitter®   Cake Filling: Raspberry Jam with Lemon Curd & Cake Frosting: Lemon Buttercream   Bottom Tier: 9 Diameter, 3 1/2 High & Top Tier: 7 Diameter, 3 1/2 High   16-22 Servings"
